"","CON_1","CON_2","PNA_1","PNA_2"
"LK433_RS03690",127.094819594111,124.368143735618,69.7652984146772,74.4901316577371
"LK433_RS03695",57.3347596889291,48.6130731128601,63.5967069248042,28.8522448267847
"LK433_RS03700",78.1605046183304,76.0572181463456,162.320097384565,154.085465203976
"LK433_RS03705",13.8156047443203,9.29367574216442,23.96397652239,15.8221987759787
"LK433_RS03710",11.9602717330926,9.77198888218727,17.5331344552535,16.1145824746179
"LK433_RS03715",12.0534102616264,7.62314846982875,21.4434326809455,15.9393298993703
"LK433_RS03720",0.345997131118742,0.477436363663983,1.15413906125476,0.621568855047235
"LK433_RS03725",5.5613663165696,5.7555358246781,14.4697739594939,11.2395978343817
"LK433_RS03735",79.207610264648,77.2262943959631,202.778303198274,233.404953164303
"LK433_RS03740",163.906259102804,170.824573489395,419.715764317301,588.416692259108
"LK433_RS03745",26.2496490142085,31.4350922355847,46.5322489176517,49.2615516512614
"LK433_RS03750",16.5176362844509,11.7812294533717,17.2738763263172,22.8563975915499
"LK433_RS03755",118.591181605072,119.528120404285,54.3353507345272,37.9994230068054
"LK433_RS03760",1035.87866359333,1014.68881408766,686.536260809574,773.531702832397
"LK433_RS03765",596.162803315651,603.26662257011,504.398866618344,504.357164793521
"LK433_RS03770",103.062613266198,107.544871136176,89.7449521232087,83.2396651184894
"LK433_RS03775",599.752873332076,576.955462181961,607.1556423942,825.831342063968
"LK433_RS03780",106.526829047387,109.315759190633,137.18839957908,136.260877855175
"LK433_RS03785",191.306777467475,184.789855962934,65.1717491986711,75.2114050527535
"LK433_RS03790",2.62496490142085,4.07491936387209,22.7657776962705,7.07345357043754
"LK433_RS03795",51.232867593521,48.2556240458537,46.7758387888958,27.7664076558842
"LK433_RS03800",1378.71500881912,1354.97815403985,258.970869056403,374.284066409244
"LK433_RS03805",103.593932564435,99.7151393946404,160.186267042191,176.244913377123
"LK433_RS03810",227.584456953188,224.256395658428,431.849290761561,464.725899577746
"LK433_RS03815",204.528515235708,208.556636887065,372.862577012635,433.249031189299
"LK433_RS03820",92.1040316288018,101.7538344078,454.701092988938,424.717453417938
"LK433_RS03825",2335.34512843514,2279.21089651871,3727.15738921199,5969.59515237293
"LK433_RS03830",664.253472874085,627.723164604231,716.521290418173,900.374558766086
"LK433_RS03835",579.99677381032,559.891295849254,581.834396529544,790.637835681152
"LK433_RS03840",201.398169160738,211.608086834901,298.051390453257,284.41903826944
"LK433_RS03845",62.0070449154532,52.6744825907351,81.3555956438497,71.7092241884908
"LK433_RS03850",7.572014138714,11.7545750880926,26.5207839287175,16.1533194517203
"LK433_RS03855",2042.65464955502,2208.53752020831,3322.87251866694,2449.40714223142
"LK433_RS03860",71.1732211322749,82.8966439219078,131.341025170791,90.6936372312533
"LK433_RS03865",47.4624650072405,41.9771828689161,77.706067782473,61.6643323253088
"LK433_RS03870",32.1870696245652,25.7108007482406,42.5294748172086,31.5779177251676
"LK433_RS03875",50.226283728304,47.0474861378156,90.0065125937638,83.9725633361998
"LK433_RS03880",42.9270575984237,49.787548618738,58.5932392992502,58.5022475750473
"LK433_RS03885",27.8743238925151,33.0510247757425,52.4939048821771,45.0675136465984
"LK433_RS03890",49.0068554557112,37.3097051913897,66.3281572035612,41.7424835165305
"LK433_RS03895",28.8911231288459,29.6862574202422,49.287302946691,38.9262382020934
"LK433_RS03900",14.4052951907242,7.73019933525871,28.1190812696274,20.8465603193789
"LK433_RS03905",105.421977492547,89.1662462954807,128.234033177504,79.861572569456
"LK433_RS03910",76.6787220438021,73.7916102263208,68.5199222687844,76.5027041978792
"LK433_RS03915",54.0137008561599,56.160747643109,46.4745165988953,45.569364348011
"LK433_RS03920",82.6377839336194,84.6845382203871,93.5061619528678,89.0731190351393
"LK433_RS03925",25.1510954211029,27.5251528249804,46.8661807878154,32.3291104816253
"LK433_RS03930",84.8036655115189,71.8073183031902,114.656826175839,159.355383087579
"LK433_RS03935",159.151415282997,159.895129894719,264.405685842511,316.773757337508
"LK433_RS03940",41.1052196101617,37.2539178717855,62.4631615433738,36.7599349928874
"LK433_RS03945",7.0784083783274,6.09320939826304,25.6415106264213,13.6370765659897
"LK433_RS03950",9.11446146326685,8.96104952703354,23.9423743800921,13.047820171163
"LK433_RS03955",10.8593412469622,9.63990672147583,26.1682784339332,18.4151965278866
"LK433_RS03960",16.633892170462,12.616214465692,38.3077990081474,22.8720612412151
"LK433_RS03965",60.6713585705763,54.1400450074201,170.991145977068,92.5888380092649
"LK433_RS03970",137.439200027224,103.795115872214,248.639299222693,251.908370079261
"LK433_RS03975",42.8813710747983,40.9647978378676,73.4305202453983,59.6471779253165
"LK433_RS03980",11.8357792430137,8.6106927034202,25.642771580964,18.7888610464747
"LK433_RS03985",20.5752199368796,19.6125106897034,34.6774983949284,29.4727232101564
"LK433_RS03990",6.07095406716276,8.22762720311913,19.8650889759053,12.8537427216101
"LK433_RS03995",18.1145633096797,23.2207345599152,31.0362522883718,19.8580330788632
"LK433_RS04000",18.6917005364333,24.1278120229269,22.7034279835991,14.7819850156202
"LK433_RS04005",7.29156917061348,6.0369175761068,21.079423792843,8.51434226071185
