"","CON_0_1","CON_0_2","CON_0_3","CON_10_1","CON_10_2","CON_10_3","CON_20_1","CON_20_2","CON_20_3","CON_30_1"
"LK433_RS11705",129.221854552579,118.977010691108,143.099558077519,151.006406643581,236.974167516951,146.003774423545,137.305956590185,151.451732849522,169.885387356356,169.425382237672
"LK433_RS11710",118.878787226975,116.543058777828,148.71375172485,126.357759354909,100.995505685756,234.268639736563,160.136002977689,177.962088084378,196.026233233484,142.455452781831
"LK433_RS11715",578.674427080069,608.939127273082,594.363391191218,653.619200693007,524.685099556625,620.556052926737,600.479933029036,567.399661338503,574.100050982646,642.689582203035
"LK433_RS11720",460.922347055546,498.616085387225,505.500349175523,527.594790114105,571.208136712929,496.561665501612,444.773704432073,452.21329148645,386.861912685574,491.96884308166
"LK433_RS11725",510.419343370449,581.718307390048,589.258283459294,621.736562668695,487.129481496925,592.72942974539,516.586718287713,514.146226859799,488.657592015055,540.574593133338
"LK433_RS11730",595.280467121654,627.883371966995,695.99479630062,771.013082480783,479.592466050376,703.821299929768,554.500552038759,563.605941645573,490.68210207241,589.157164569673
"LK433_RS11735",466.117616320788,559.979197442081,557.275210831429,591.11397421164,442.747974420385,569.211470179722,452.431999230124,439.468393056699,450.071274374621,450.899535246698
"LK433_RS11740",747.126847817384,871.228581870309,946.768876447158,916.306221289187,672.162179083733,956.147883428436,754.137033483129,767.152358701864,677.458051688027,690.402621905975
"LK433_RS11745",570.535366178561,619.516681174186,616.540717311486,663.153844380797,577.546736166765,612.418578754898,560.583250336848,502.685215188672,527.955954521883,535.309225964216
"LK433_RS11750",692.384435518811,771.009887360916,780.048327063816,879.690112411888,650.602939510872,866.707744925053,665.742373239828,671.800226603996,651.962154835366,664.321427311299
"LK433_RS11755",642.456619843662,685.068109074697,770.10064387516,747.46134418873,563.497421989581,774.355351018251,639.020052954295,582.635711198794,687.894408847218,672.014166897425
"LK433_RS11760",837.658839515234,706.571295039711,916.114842356286,807.889959766427,541.136413180471,838.515110619964,759.868352901902,841.159979112906,722.750869324081,858.548974515222
"LK433_RS11765",1.78882857140653,2.57683841215798,12.6833618396911,2.67743714285864,204.729326517697,22.0277373573212,3.83874425967492,3.71405093547258,1.22854907276191,0.840985319571856
"LK433_RS11770",1.54065317894491,1.94192029377771,4.70986461292042,1.56934717147524,110.38290845783,9.97572504372727,1.20537492528855,2.13251825690596,1.44019815180343,0.422514259111822
"LK433_RS11775",1.78825815413249,1.90339012921863,3.85892268705665,2.60223383025231,108.710440147862,7.67106535170545,2.1266257610448,2.97029328640473,1.33732685524604,0.392334669175263
"LK433_RS11780",37.2459663260718,35.7267909018986,18.9561114451906,27.6110705357297,93.8342746539444,15.357366185738,22.4326617674753,28.4522830592453,18.3002622296826,18.5016770305808
"LK433_RS11785",30.9653978258052,29.04589095592,25.7700880446797,34.6858472108273,103.189415547095,34.8253682144501,27.3817843702402,23.424155594958,30.3888745174111,19.0577667615562
"LK433_RS11790",24.9744943486432,32.3641226300705,40.4197693508491,20.4918217384421,105.831910183384,33.06039581393,34.606144333918,27.0199073790507,21.5780513432375,18.5668237806885
"LK433_RS11795",7.9492926814398,5.00985328503272,11.6593310581953,9.10951288372603,97.8899591284938,10.857300745266,10.1453323944287,13.0232394014768,10.3502878471135,7.25545416112022
"LK433_RS11800",20.5858264904848,17.2185898872794,19.7547596929346,16.2342414328096,25.3335874731786,11.4020942551305,19.059910719163,19.4009920281924,21.2072010011308,16.4683000034633
"LK433_RS11805",256.45118178648,293.809133570859,249.637406108971,228.629103718077,299.988000019365,209.752744998371,262.898615283987,300.123885208765,238.748036473398,250.128441394199
"LK433_RS11810",435.588195008111,389.947365658708,327.819122758563,357.658873430119,364.282531514347,346.844666496763,449.163634424127,400.148944621316,382.122224449924,431.745797075058
"LK433_RS11815",2.48994453162814,3.4523027444937,10.6118874701095,2.17398742368864,107.037971837895,18.1376818976859,3.74031491968326,6.46217653607866,3.09237352075541,1.63884318685798
"LK433_RS11820",4.14592818930686,7.58245488630808,18.6825894718262,4.79096201076589,398.704226149603,33.753480627406,8.58623234452118,6.45597992844132,4.10357829554949,1.30419926556891
"LK433_RS11825",5.99176013887538,3.21191029033166,14.6017056517073,8.65894565350029,117.079251594448,12.5420140781871,7.27421618355953,7.07814570377297,7.53248704540902,3.99468026796632
"LK433_RS11830",3.41292677308873,5.48420738671253,9.43215303120334,5.22780608050688,97.4981525989798,9.88625665768487,4.83447234609004,4.59973668866263,4.02997150997909,2.36456410480517
