"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS09890",-0.246569208518988,6.31000193454499,2.20454282511478,0.165288400669066,0.213515113383443,"LK433_RS09890","LK433_RS09890"
"LK433_RS12680",-0.217217842913718,6.4068037348298,2.19621261612568,0.16602194115819,0.214353149769103,"LK433_RS12680","LK433_RS12680"
"LK433_RS08960",-0.295773169414288,10.1265808451438,2.18876348692036,0.166681438926851,0.215094781831077,"LK433_RS08960","LK433_RS08960"
"LK433_RS11200",-0.207355123356741,8.62246698197564,2.1814403832696,0.167333062540741,0.215825501072955,"LK433_RS11200","LK433_RS11200"
"LK433_RS07915",-0.235223559581602,6.40681585917836,2.178875678922,0.167562048420027,0.216010636616945,"LK433_RS07915","LK433_RS07915"
"LK433_RS12740",0.190852585143217,8.69453695910805,2.17017601901334,0.168341790911897,0.216905222948663,"LK433_RS12740","LK433_RS12740"
"LK433_RS03015",0.337844533103843,5.059114235239,2.16252624449418,0.169031291304547,0.217682681822667,"LK433_RS03015","LK433_RS03015"
"LK433_RS04560",0.315804946321669,5.29502359039685,2.15043267650219,0.170128754142592,0.218984465617348,"LK433_RS04560","LK433_RS04560"
"LK433_RS09655",-0.215027040591506,6.43734270072258,2.14722655253226,0.170421238860201,0.219249308823709,"LK433_RS09655","LK433_RS09655"
"LK433_RS02600",-0.215075389188611,9.50569679245644,2.14522001612381,0.170604618258433,0.219373588482868,"LK433_RS02600","LK433_RS02600"
"LK433_RS11975",-0.347853694486141,5.51539340844871,2.13568159439906,0.171479826879897,0.220386884774977,"LK433_RS11975","LK433_RS11975"
"LK433_RS03910",-0.19094741018495,7.37888584998781,2.12752606650428,0.172232737170303,0.221242052625268,"LK433_RS03910","LK433_RS03910"
"LK433_RS06775",0.33669096864639,5.0805688975421,2.12514030974021,0.172453792763928,0.221413503355618,"LK433_RS06775","LK433_RS06775"
"LK433_RS11890",0.350198152892683,5.2811664855197,2.11838308644398,0.173081880229952,0.22210710315803,"LK433_RS11890","LK433_RS11890"
"LK433_RS00795",-0.21273989917942,6.72392513809465,2.11641220912051,0.1732656295854,0.222230092131857,"LK433_RS00795","LK433_RS00795"
"LK433_RS13640",0.222461242036998,9.89609641810185,2.11429046366214,0.173463725934159,0.222371348459205,"LK433_RS13640","LK433_RS13640"
"LK433_RS02320",0.199359974201775,6.8870644848255,2.11027299398034,0.173839616908314,0.222740269409133,"LK433_RS02320","LK433_RS02320"
"LK433_RS11500",-0.217993774848603,6.64696317888105,2.10612239240874,0.17422906829542,0.223126182700517,"LK433_RS11500","LK433_RS11500"
"LK433_RS05485",0.363479172765936,4.98588235021834,2.0934342904798,0.175426595949557,0.224546042815433,"LK433_RS05485","LK433_RS05485"
"LK433_RS00225",-0.233168888544607,6.3053423451432,2.07753699974787,0.176942054217247,0.226371211063361,"LK433_RS00225","LK433_RS00225"
"LK433_RS03345",-0.210975104671896,6.44678149757089,2.06486650771763,0.178162040049892,0.227816710797232,"LK433_RS03345","LK433_RS03345"
