Bovatus_RS02555	Bovatus_00522
Bovatus_RS02560	Bovatus_00523
Bovatus_RS02565	Bovatus_00524
Bovatus_RS02570	Bovatus_00525
Bovatus_RS02575	Bovatus_00526
Bovatus_RS02580	Bovatus_00527
Bovatus_RS02585	Bovatus_00528
Bovatus_RS02590	Bovatus_00529
Bovatus_RS02595	Bovatus_00530
Bovatus_RS02600	Bovatus_00531
Bovatus_RS02605	Bovatus_00532
Bovatus_RS02610	Bovatus_00533
Bovatus_RS02615	Bovatus_00534
Bovatus_RS02620	Bovatus_00535
Bovatus_RS02625	Bovatus_00536
Bovatus_RS02630	Bovatus_00537
Bovatus_RS02635	Bovatus_00538
Bovatus_RS02640	Bovatus_00539
Bovatus_RS02645	Bovatus_00540
Bovatus_RS02650	Bovatus_00541
Bovatus_RS02655	Bovatus_00542
Bovatus_RS02660	Bovatus_00543
Bovatus_RS02665	Bovatus_00544
Bovatus_RS02670	Bovatus_00545
Bovatus_RS02675	Bovatus_00546
Bovatus_RS02680	Bovatus_00547
Bovatus_RS24525	Bovatus_00548
Bovatus_RS02685	Bovatus_00549
Bovatus_RS02690	Bovatus_00550
Bovatus_RS02695	Bovatus_00551
Bovatus_RS02700	Bovatus_00552
Bovatus_RS02705	Bovatus_00553
Bovatus_RS02710	Bovatus_00554
Bovatus_RS02715	Bovatus_00555
Bovatus_RS02720	Bovatus_00556
Bovatus_RS02725	Bovatus_00557
Bovatus_RS02730	Bovatus_00558
Bovatus_RS02735	Bovatus_00559
Bovatus_RS02740	Bovatus_00560
Bovatus_RS02745	Bovatus_00561
Bovatus_RS02750	Bovatus_00562
Bovatus_RS02755	Bovatus_00563
Bovatus_RS02760	Bovatus_00564
Bovatus_RS02765	Bovatus_00565
Bovatus_RS02770	Bovatus_00566
Bovatus_RS02775	Bovatus_00567
Bovatus_RS25610	Bovatus_00568
Bovatus_RS02780	Bovatus_00569
Bovatus_RS02785	Bovatus_00570
Bovatus_RS02790	Bovatus_00571
Bovatus_RS02795	Bovatus_00572
Bovatus_RS02800	Bovatus_00573
Bovatus_RS02810	Bovatus_00575
Bovatus_RS02815	Bovatus_00577
Bovatus_RS02820	Bovatus_00578
Bovatus_RS02825	Bovatus_00579
Bovatus_RS02830	Bovatus_00580
Bovatus_RS02835	Bovatus_00581
Bovatus_RS02840	Bovatus_00582
Bovatus_RS02845	Bovatus_00583
Bovatus_RS02850	Bovatus_00584
Bovatus_RS02855	Bovatus_00585
Bovatus_RS02860	Bovatus_00586
Bovatus_RS02865	Bovatus_00587
Bovatus_RS02870	Bovatus_00588
Bovatus_RS02875	Bovatus_00589
Bovatus_RS02880	Bovatus_00590
Bovatus_RS02885	Bovatus_00591
Bovatus_RS02890	Bovatus_00592
Bovatus_RS02895	Bovatus_00593
Bovatus_RS02900	Bovatus_00594
Bovatus_RS02905	Bovatus_00595
Bovatus_RS02910	Bovatus_00596
Bovatus_RS02915	Bovatus_00597
Bovatus_RS02920	Bovatus_00598
Bovatus_RS02925	Bovatus_00599
Bovatus_RS02930	Bovatus_00600
Bovatus_RS02935	Bovatus_00601
Bovatus_RS02940	Bovatus_00602
Bovatus_RS02945	Bovatus_00603
Bovatus_RS02950	Bovatus_00604
Bovatus_RS02955	Bovatus_00605
Bovatus_RS02960	Bovatus_00606
Bovatus_RS02965	Bovatus_00607
Bovatus_RS02970	Bovatus_00608
Bovatus_RS02975	Bovatus_00609
Bovatus_RS02980	Bovatus_00610
Bovatus_RS02985	Bovatus_00611
Bovatus_RS02990	Bovatus_00612
Bovatus_RS02995	Bovatus_00613
Bovatus_RS03000	Bovatus_00614
Bovatus_RS03005	Bovatus_00615
Bovatus_RS03010	Bovatus_00616
Bovatus_RS03015	Bovatus_00617
Bovatus_RS03020	Bovatus_00618
Bovatus_RS03025	Bovatus_00619
Bovatus_RS03030	Bovatus_00620
Bovatus_RS03035	Bovatus_00621
Bovatus_RS03040	Bovatus_00622
Bovatus_RS03045	Bovatus_00623
