"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS08155",0.0243319020916782,4.93181751651254,0.00851626537855978,0.926795670615334,0.978597557908283,"LK433_RS08155","LK433_RS08155"
"LK433_RS08115",-0.0318463505983855,3.86497483158297,0.00793431890890514,0.929334114022725,0.980904916245195,"LK433_RS08115","LK433_RS08115"
"LK433_RS14315",0.0172629947171232,6.02497070966124,0.00772330069736228,0.93027765623807,0.981527755080973,"LK433_RS14315","LK433_RS14315"
"LK433_RS04460",-0.00706393166511702,8.98415747671032,0.00755702819408224,0.931030312319156,0.981948795028597,"LK433_RS04460","LK433_RS04460"
"LK433_RS01215",0.00666184184334728,9.23943868509175,0.00707899831128574,0.933241923993743,0.982203592430035,"LK433_RS01215","LK433_RS01215"
"LK433_RS02160",-0.0112381549023725,7.56690634097515,0.00713850861346428,0.932962582908636,0.982203592430035,"LK433_RS02160","LK433_RS02160"
"LK433_RS03160",0.0232087639888366,4.98236974613586,0.00716340749900116,0.932846055774445,0.982203592430035,"LK433_RS03160","LK433_RS03160"
"LK433_RS08025",0.0389237168141389,2.50448989433661,0.00705690849186519,0.933345914311361,0.982203592430035,"LK433_RS08025","LK433_RS08025"
"LK433_RS09165",0.0363057126089268,3.46516651706732,0.0072314867337958,0.932528481378111,0.982203592430035,"LK433_RS09165","LK433_RS09165"
"LK433_RS12495",0.0199820883148796,5.07382410890043,0.0070466949164175,0.933394051286591,0.982203592430035,"LK433_RS12495","LK433_RS12495"
"LK433_RS03415",0.00909234635493497,7.58982289853229,0.00677342951220899,0.934695261094194,0.982210905689773,"LK433_RS03415","LK433_RS03415"
"LK433_RS04195",-0.0160029282546239,5.54123929288338,0.00690808176571453,0.934050847774721,0.982210905689773,"LK433_RS04195","LK433_RS04195"
"LK433_RS04665",-0.0503271150465444,1.98259950314893,0.00667519303868555,0.935169475925013,0.982210905689773,"LK433_RS04665","LK433_RS04665"
"LK433_RS06900",-0.0149110846966514,6.23435289490017,0.00668840017303464,0.935105517939142,0.982210905689773,"LK433_RS06900","LK433_RS06900"
"LK433_RS11130",-0.0138035940902407,6.67539433001649,0.00668213703836035,0.935135840391341,0.982210905689773,"LK433_RS11130","LK433_RS11130"
"LK433_RS00840",0.0138745551091948,5.98094496220274,0.00616982492159597,0.937666541602618,0.98234090646437,"LK433_RS00840","LK433_RS00840"
"LK433_RS01355",0.0186105664864204,4.86733394549682,0.00648465580102018,0.936099375621141,0.98234090646437,"LK433_RS01355","LK433_RS01355"
"LK433_RS02305",-0.00832557602533348,7.78726728184043,0.00617457480631019,0.937642602469227,0.98234090646437,"LK433_RS02305","LK433_RS02305"
"LK433_RS02405",-0.0169156160590856,5.72405518606846,0.00610631818636352,0.937987506952551,0.98234090646437,"LK433_RS02405","LK433_RS02405"
"LK433_RS03375",-0.015726392618732,5.76638861772839,0.00645658081317711,0.936237549628196,0.98234090646437,"LK433_RS03375","LK433_RS03375"
