"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01895",-0.336895190290016,5.07533520310043,1.47687596770041,0.22926424438902,0.422753523684135,"LK433_RS01895","LK433_RS01895"
"LK433_RS08445",0.155848405796804,8.32077975047627,1.4739172275855,0.229801130152037,0.423462334726083,"LK433_RS08445","LK433_RS08445"
"LK433_RS08590",0.179585689269579,6.9735093954416,1.47096326140933,0.23018687670095,0.423891881033513,"LK433_RS08590","LK433_RS08590"
"LK433_RS11160",0.17556341545762,7.44691582256327,1.46953128253122,0.230411012449278,0.424023447032237,"LK433_RS11160","LK433_RS11160"
"LK433_RS03010",0.116977517546474,8.52385477140196,1.4639315147867,0.231290080070717,0.425359306196278,"LK433_RS03010","LK433_RS03010"
"LK433_RS06910",-0.16715054269258,7.24512796263721,1.45816485870773,0.232199665929868,0.4267494852993,"LK433_RS06910","LK433_RS06910"
"LK433_RS09350",-0.135279218564384,8.51728735681735,1.45573141810395,0.232584819113605,0.427174631401111,"LK433_RS09350","LK433_RS09350"
"LK433_RS08470",-0.144536072692578,7.82140770990593,1.45044961894047,0.233423509913512,0.428431650383228,"LK433_RS08470","LK433_RS08470"
"LK433_RS10210",0.248885378953,6.14821562248092,1.43556874473516,0.235806575385492,0.432395886297794,"LK433_RS10210","LK433_RS10210"
"LK433_RS13100",0.22277619068216,6.16082956074099,1.43502160687308,0.235894766921555,0.432395886297794,"LK433_RS13100","LK433_RS13100"
"LK433_RS07525",-0.332262773878775,4.64488786633232,1.43400103203884,0.236059379332795,0.432412200796287,"LK433_RS07525","LK433_RS07525"
"LK433_RS02640",-0.141563857603412,7.71429832699795,1.43061752243185,0.23660613530071,0.433128040692203,"LK433_RS02640","LK433_RS02640"
"LK433_RS04750",0.331018357542194,5.12754010695951,1.42541167083802,0.237450433729964,0.434387255907846,"LK433_RS04750","LK433_RS04750"
"LK433_RS13330",-0.153390915268984,7.23737267827335,1.4236193728919,0.237741975641989,0.434634276733248,"LK433_RS13330","LK433_RS13330"
"LK433_RS06300",-0.129274248971403,8.10255866929028,1.41884354042291,0.238520997029879,0.435771584705246,"LK433_RS06300","LK433_RS06300"
"LK433_RS03430",-0.146265997489968,8.25583655811257,1.4138492936519,0.239339030698295,0.436691516589464,"LK433_RS03430","LK433_RS03430"
"LK433_RS07925",-0.296565153873255,4.88635969546546,1.41448356707418,0.239234947228554,0.436691516589464,"LK433_RS07925","LK433_RS07925"
"LK433_RS04405",-0.465754120846724,3.91207316161896,1.41210775479798,0.23962510383082,0.436926404030327,"LK433_RS04405","LK433_RS04405"
"LK433_RS01345",-0.162946961642566,7.5388049107436,1.40749811635489,0.240384353111317,0.438023194612945,"LK433_RS01345","LK433_RS01345"
"LK433_RS09995",-0.640748485496775,2.88571257889692,1.40225003432097,0.241252396831187,0.439316659672267,"LK433_RS09995","LK433_RS09995"
"LK433_RS08065",0.403074334404696,3.69775471579158,1.40121909824032,0.241423372808393,0.439339912378052,"LK433_RS08065","LK433_RS08065"
"LK433_RS00425",0.087138314536719,11.1349909272749,1.3996483953644,0.241684155978424,0.439526457859911,"LK433_RS00425","LK433_RS00425"
"LK433_RS02725",0.140044704493291,8.98610188070648,1.39998308584661,0.24232826614204,0.439833722272186,"LK433_RS02725","LK433_RS02725"
"LK433_RS06070",-0.101018114408568,8.76416978956286,1.39600711567651,0.242290063343439,0.439833722272186,"LK433_RS06070","LK433_RS06070"
"LK433_RS06820",0.469707578300088,3.94072848130769,1.39763552262483,0.242018864138408,0.439833722272186,"LK433_RS06820","LK433_RS06820"
"LK433_RS08255",0.11048897368503,8.62518755267203,1.39462705496277,0.242520198010659,0.439894572093795,"LK433_RS08255","LK433_RS08255"
"LK433_RS11610",-0.126032313137401,8.15724844587774,1.39231391953461,0.242906539032258,0.440307740791502,"LK433_RS11610","LK433_RS11610"
"LK433_RS13160",-0.176963182379474,7.15049084979398,1.38929767119241,0.243411464552219,0.440935183993159,"LK433_RS13160","LK433_RS13160"
"LK433_RS11745",-0.110894183944061,9.35633128683474,1.38640328360005,0.243897218428268,0.441527102721839,"LK433_RS11745","LK433_RS11745"
"LK433_RS06135",-0.273185933581215,5.7107632924808,1.38012687565817,0.244954715301419,0.443152602209798,"LK433_RS06135","LK433_RS06135"
"LK433_RS04820",-0.239037177089024,5.78979665438586,1.37543567141393,0.245748856212192,0.444299852670089,"LK433_RS04820","LK433_RS04820"
"LK433_RS03260",0.0798703263009841,10.8222394970614,1.37249364407102,0.246248528758288,0.444308790037877,"LK433_RS03260","LK433_RS03260"
"LK433_RS03870",0.313998223054274,4.90617874837775,1.37070001557407,0.24655377941965,0.444308790037877,"LK433_RS03870","LK433_RS03870"
"LK433_RS07755",-0.201281387271389,6.66589391455225,1.37135602098771,0.246442081703513,0.444308790037877,"LK433_RS07755","LK433_RS07755"
"LK433_RS11360",-0.157793589370153,7.59747885809793,1.37312935868983,0.246140452086295,0.444308790037877,"LK433_RS11360","LK433_RS11360"
"LK433_RS12990",0.451184604275629,3.3764100355188,1.37440659822994,0.245923489658948,0.444308790037877,"LK433_RS12990","LK433_RS12990"
"LK433_RS08685",0.128611697803411,8.73636910317875,1.36827479447109,0.246967269289851,0.444765309220439,"LK433_RS08685","LK433_RS08685"
"LK433_RS01140",-0.375054649135437,4.32973100502706,1.36450838028176,0.247611143776879,0.445347244992482,"LK433_RS01140","LK433_RS01140"
