"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS09040",-0.475101567411072,8.5727071331006,25.5685407278363,4.71160996345291e-06,0.000124678700335748,"LK433_RS09040","LK433_RS09040"
"LK433_RS13665",-1.04105155300826,5.6343311737688,25.567018932907,4.71417484164692e-06,0.000124678700335748,"LK433_RS13665","LK433_RS13665"
"LK433_RS10920",0.518290354316595,11.6241751508272,29.0634625769704,5.19395186300461e-06,0.000136071738901545,"LK433_RS10920","LK433_RS10920"
"LK433_RS05175",-0.314378257618004,11.0112326793468,25.2508084323902,5.27985273774102e-06,0.000137029449090718,"LK433_RS05175","LK433_RS05175"
"LK433_RS06940",-0.563798884182775,8.62773874148502,25.0010330857521,5.93245452106749e-06,0.000152248644055988,"LK433_RS06940","LK433_RS06940"
"LK433_RS09130",0.52864670198232,8.21714833503925,24.9067902950945,5.97591004757029e-06,0.000152248644055988,"LK433_RS09130","LK433_RS09130"
"LK433_RS00930",0.363204862205886,9.6023077165503,24.8354858146985,6.13172612439996e-06,0.000154798213158715,"LK433_RS00930","LK433_RS00930"
"LK433_RS00445",-0.334200746325873,11.3971145498728,24.4413503987924,7.07242578249002e-06,0.00017693807565743,"LK433_RS00445","LK433_RS00445"
"LK433_RS05125",-0.367708893318958,9.70595001285518,24.3538917896019,7.30076118897866e-06,0.000181019766266016,"LK433_RS05125","LK433_RS05125"
"LK433_RS02475",-0.494478479082071,8.24174394463335,23.7613359036487,9.06362646219768e-06,0.000222740625535601,"LK433_RS02475","LK433_RS02475"
"LK433_RS00235",0.566862590466851,11.2434063273285,27.5247456043782,1.07695653426407e-05,0.00026234283295187,"LK433_RS00235","LK433_RS00235"
"LK433_RS00420",-0.365004868341935,11.3787407576125,23.2666162049511,1.11354811987381e-05,0.000268897663381702,"LK433_RS00420","LK433_RS00420"
"LK433_RS12725",-0.452917088183566,8.57723215531485,22.943819562187,1.22508935357402e-05,0.000293282166799573,"LK433_RS12725","LK433_RS12725"
"LK433_RS01945",0.53645847077133,8.50169378528641,22.7155054578623,1.33347126488416e-05,0.00031649997457977,"LK433_RS01945","LK433_RS01945"
"LK433_RS00480",-0.318336347779464,11.4844604251825,22.602462389833,1.39077174742996e-05,0.000327302808696016,"LK433_RS00480","LK433_RS00480"
"LK433_RS03095",1.12952999539725,5.27102236795026,22.1727903971343,1.63295892844443e-05,0.000381069491116823,"LK433_RS03095","LK433_RS03095"
"LK433_RS01290",-0.5295690438318,7.60795734228699,22.0405667256068,1.71599507356301e-05,0.000397109859940373,"LK433_RS01290","LK433_RS01290"
"LK433_RS10600",-0.306683571769735,9.9093245347926,21.9137854969452,1.79973453320616e-05,0.000413046512290372,"LK433_RS10600","LK433_RS10600"
"LK433_RS00690",0.498404310830862,8.03218705141596,21.7762703552945,1.89537586203184e-05,0.000431431046628066,"LK433_RS00690","LK433_RS00690"
"LK433_RS06715",0.465651815554021,8.72083114109014,21.6388682354209,1.9962190988164e-05,0.000450691092472614,"LK433_RS06715","LK433_RS06715"
